bird,3021,1536,3042,1563
bird,3073,1498,3093,1526
bird,2975,1514,3003,1533
bird,3108,1403,3132,1425
bird,3127,1418,3154,1437
bird,3023,1458,3044,1478
bird,2755,2081,2768,2096
bird,3073,2103,3086,2114
bird,3100,2103,3111,2115
bird,2713,1466,2726,1476
bird,2698,1471,2711,1480
bird,2733,1461,2740,1477
bird,3062,2094,3072,2104
bird,2729,1443,2736,1456
bird,2709,1453,2716,1466
bird,2716,1444,2723,1457
bird,3072,2088,3080,2099
bird,2711,1448,2719,1459
bird,2694,1453,2705,1461
bird,3053,2103,3064,2111
bird,2725,1462,2732,1474
bird,2722,1446,2728,1459
bird,3074,2120,3086,2126
bird,3058,2119,3070,2125
bird,3084,2080,3089,2094
bird,2455,1722,2465,1729
bird,2701,1447,2707,1458
bird,3086,2111,3097,2117
bird,3088,2118,3098,2124
bird,3081,2115,3088,2123
bird,3058,2114,3069,2119
bird,3072,2121,3078,2130
bird,2478,1715,2485,1722
bird,2480,1723,2486,1731
bird,2459,1749,2468,1754
bird,2484,1714,2490,1721
bird,2488,1729,2495,1735
bird,3066,2106,3071,2114
bird,2477,1732,2486,1736
bird,2490,1734,2496,1740
bird,2475,1728,2482,1733
bird,3072,2106,3075,2117
bird,2487,1723,2491,1731
bird,2474,1720,2478,1727
bird,2483,1739,2488,1744
bird,3066,2124,3071,2129
bird,2484,1734,2489,1738
